Str,Link,Price 
, undefined,  
, undefined,  
Инвертор сварочный Fubag IR 160, /product/invertor-svarochnyy-fubag-ir-160/, 7 150 р. 
Инвертор сварочный Fubag IR 180, /product/invertor-svarochnyy-fubag-ir-180/, 7 780 р. 
Инвертор сварочный Fubag IR 200, /product/invertor-svarochnyy-fubag-ir-200/, 8 530 р. 
Инвертор сварочный Fubag IQ 160, /product/invertor-svarochnyy-fubag-iq-160/, 5 830 р. 
Инвертор сварочный Fubag IQ 180, /product/invertor-svarochnyy-fubag-iq-180/, 6 380 р. 
Инвертор сварочный Fubag IQ 200, /product/invertor-svarochnyy-fubag-iq-200/, 7 280 р. 
Инвертор сварочный Fubag IR 200 VRD, /product/invertor-svarochnyy-fubag-ir-200-vrd/, 8 790 р. 
Инвертор сварочный Fubag IR 220, /product/invertor-svarochnyy-fubag-ir-220/, 8 870 р. 
Инвертор сварочный Fubag IR 220 VRD, /product/invertor-svarochnyy-fubag-ir-220-vrd/, 9 100 р. 
Инвертор сварочный Fubag IN 176, /product/invertor-svarochnyy-fubag-in-176/, 13 590 р. 
Инвертор сварочный Fubag IN 206, /product/invertor-svarochnyy-fubag-in-206/, 17 750 р. 
Инвертор сварочный Fubag IN 206 LVP, /product/invertor-svarochnyy-fubag-in-206-lvp/, 30 450 р. 
Инвертор сварочный Fubag IN 316 Т , /product/invertor-svarochnyy-fubag-in-316t-/, 45 060 р. 
Инвертор сварочный Fubag IN 256 Т CEL, /product/3918/, 36 050 р. 
Инвертор сварочный Fubag IN 226 CEL, /product/invertor-svarochnyy-fubag-in-226-cel/, 20 800 р. 
